trial,objective,gap,elapsed,m_test_sharpe,m_train_sharpe,p_split_hour
0,0.7921,-0.769,0.0,1.560952,0.792104,13.0
1,0.7921,-0.769,0.0,1.560952,0.792104,13.0
2,0.8005,-0.686,0.0,1.486879,0.800523,14.0
3,0.8005,-0.686,0.0,1.486879,0.800523,14.0
4,0.8091,-0.711,0.0,1.520315,0.809064,12.5
5,0.7921,-0.769,0.0,1.560952,0.792104,13.0
6,0.8091,-0.711,0.0,1.520315,0.809064,12.5
7,0.7921,-0.769,0.0,1.560952,0.792104,13.0
8,0.8005,-0.686,0.0,1.486874,0.800525,13.5
9,0.8005,-0.686,0.0,1.486874,0.800525,13.5
10,0.8005,-0.686,0.0,1.486874,0.800525,13.5
11,0.8005,-0.686,0.0,1.486879,0.800523,14.0
12,0.7921,-0.769,0.0,1.560952,0.792104,13.0
13,0.8005,-0.686,0.0,1.486874,0.800525,13.5
14,0.8091,-0.711,0.0,1.520315,0.809064,12.5
15,0.8091,-0.711,0.0,1.520315,0.809064,12.5
16,0.8091,-0.711,0.0,1.520315,0.809064,12.5
17,0.8091,-0.711,0.0,1.520315,0.809064,12.5
18,0.8091,-0.711,0.0,1.520315,0.809064,12.5
19,0.8091,-0.711,0.0,1.520315,0.809064,12.5
20,0.8091,-0.711,0.0,1.520315,0.809064,12.5
21,0.8091,-0.711,0.0,1.520315,0.809064,12.5
22,0.8091,-0.711,0.0,1.520315,0.809064,12.5
23,0.8091,-0.711,0.0,1.520315,0.809064,12.5
24,0.8091,-0.711,0.0,1.520315,0.809064,12.5
25,0.8091,-0.711,0.0,1.520315,0.809064,12.5
26,0.8091,-0.711,0.0,1.520315,0.809064,12.5
27,0.8091,-0.711,0.0,1.520315,0.809064,12.5
28,0.8091,-0.711,0.0,1.520315,0.809064,12.5
29,0.8005,-0.686,0.0,1.486879,0.800523,14.0
30,0.8091,-0.711,0.0,1.520315,0.809064,12.5
31,0.8091,-0.711,0.0,1.520315,0.809064,12.5
32,0.8091,-0.711,0.0,1.520315,0.809064,12.5
33,0.8091,-0.711,0.0,1.520315,0.809064,12.5
34,0.8091,-0.711,0.0,1.520315,0.809064,12.5
35,0.8005,-0.686,0.0,1.486879,0.800523,14.0
36,0.7921,-0.769,0.0,1.560952,0.792104,13.0
37,0.8091,-0.711,0.0,1.520315,0.809064,12.5
38,0.7921,-0.769,0.0,1.560952,0.792104,13.0
39,0.8005,-0.686,0.0,1.486874,0.800525,13.5
40,0.8005,-0.686,0.0,1.486879,0.800523,14.0
41,0.8091,-0.711,0.0,1.520315,0.809064,12.5
42,0.8091,-0.711,0.0,1.520315,0.809064,12.5
43,0.8091,-0.711,0.0,1.520315,0.809064,12.5
44,0.8091,-0.711,0.0,1.520315,0.809064,12.5
45,0.8005,-0.686,0.0,1.486874,0.800525,13.5
46,0.7921,-0.769,0.0,1.560952,0.792104,13.0
47,0.8091,-0.711,0.0,1.520315,0.809064,12.5
48,0.8091,-0.711,0.0,1.520315,0.809064,12.5
49,0.8091,-0.711,0.0,1.520315,0.809064,12.5
